Date,open,high,low,close
2/6/13,2992.561,3012.522,2989.853,3002.051
2/7/13,2998.346,3004.803,2962.495,2996.611
2/8/13,2993.06,3037.096,2992.274,3021.59
2/18/13,3034.942,3039.383,2996.224,3008.435
2/19/13,3005.948,3011.083,2942.481,2954.183
2/20/13,2952.979,2989.781,2942.969,2989.724
2/21/13,2965.541,2965.541,2880.785,2906.314
2/22/13,2902.075,2920.861,2889.146,2894.49
2/25/13,2901.955,2924.71,2895.128,2913.187
2/26/13,2897.186,2933.752,2870.197,2872.45
2/27/13,2879.187,2913.503,2864.478,2890.581
2/28/13,2904.123,2965.45,2889.191,2965.166
3/1/13,2963.918,2979.713,2935.605,2978.115
3/4/13,2935.858,2935.858,2838.675,2857.575
3/5/13,2857.663,2934.805,2850.751,2934.543
3/6/13,2944.773,2977.679,2936.665,2972.799
3/7/13,2964.517,2977.88,2910.113,2938.906
3/8/13,2940.63,2952.482,2913.887,2918.76
3/11/13,2912.86,2927.376,2890.421,2909.617
3/12/13,2907.784,2932.219,2823.547,2854.855
3/13/13,2849.112,2851.919,2806.027,2826.395
3/14/13,2817.63,2848.481,2815.064,2835.131
3/15/13,2834.74,2893.919,2804.924,2840.833
3/18/13,2828.465,2845.262,2800.172,2802.649
3/19/13,2804.688,2819.985,2778.93,2819.673
3/20/13,2820.524,2904.717,2819.84,2904.717
3/21/13,2905.586,2932.019,2901.663,2921.356
3/22/13,2918.046,2933.782,2908.58,2927.392
3/25/13,2934.283,2945.907,2912.492,2923.437
3/26/13,2912.27,2915.736,2864.654,2890.979
3/27/13,2890.611,2925.702,2880.548,2899.804
3/28/13,2860.958,2860.958,2807.968,2810.363
3/29/13,2812.283,2823.34,2794.8,2807.682
4/1/13,2801.658,2828.449,2799.678,2814.734
4/2/13,2816.108,2844.435,2785.813,2793.552
4/3/13,2798.462,2807.789,2770.035,2780.518
4/8/13,2740.225,2779.333,2717.772,2778.865
4/9/13,2781.675,2812.088,2781.675,2800.914
4/10/13,2799.069,2807.102,2772.334,2794.062
4/11/13,2806.918,2813.805,2783.546,2785.076
4/12/13,2782.257,2795.869,2762.958,2765.445
4/15/13,2756.381,2760.219,2725.954,2733.445
4/16/13,2711.814,2760.427,2707.53,2759.704
4/17/13,2758.208,2771.638,2743.232,2770.138
4/18/13,2752.986,2788.554,2745.346,2777.628
4/19/13,2781.02,2853.12,2780.969,2845.669
4/22/13,2834.967,2852.053,2833.431,2851.752
4/23/13,2852.07,2852.07,2764.372,2766.063
4/24/13,2768.002,2831.517,2762.572,2820.861
4/25/13,2812.21,2830.137,2781.401,2783.017
4/26/13,2787.668,2797.187,2742.479,2747.908
5/2/13,2735.537,2759.756,2725.955,2756.808
5/3/13,2764.306,2828.659,2764.306,2807.879
5/6/13,2816.731,2856.829,2816.731,2850.845
5/7/13,2845.339,2864.704,2833.067,2856.476
5/8/13,2865.448,2883.508,2856.486,2876.902
5/9/13,2875.662,2878.04,2844.57,2869.45
5/10/13,2862.116,2887.727,2856.716,2885.84
5/13/13,2887.148,2891.977,2867.18,2885.667
5/14/13,2880.987,2880.987,2831.344,2847.503
5/15/13,2847.639,2873.598,2846.225,2873.598
5/16/13,2868.505,2914.901,2855.953,2913.578
5/17/13,2910.588,2962.212,2909.053,2956.846
5/20/13,2962.756,2995.426,2955.488,2987.065
5/21/13,2984.269,3007.964,2975.316,3007.961
5/22/13,3005.026,3018.961,2982.22,2996.776
5/23/13,2983.051,3010.657,2959.995,2965.256
5/24/13,2970.631,2995.755,2961.27,2994.764
5/27/13,2993.155,3014.512,2990.934,3009.879
5/28/13,3010.074,3035.986,2981.553,3035.986
5/29/13,3039.159,3055.536,3037.212,3044.275
5/30/13,3034.422,3049.198,3026.952,3042.46
5/31/13,3045.748,3053.478,3016.035,3017.226
6/3/13,3015.315,3032.371,2997.066,3004.292
6/4/13,3001.182,3001.182,2937.241,2953.44
6/5/13,2951.434,2964.273,2934.473,2956.436
6/6/13,2946.989,2950.806,2911.622,2913.961
6/7/13,2913.464,2927.168,2853.578,2865.332
6/13/13,2828.314,2828.314,2737.175,2777.612
6/14/13,2782.113,2817.351,2781.416,2813.827
6/17/13,2820.272,2829.94,2795.283,2810.437
6/18/13,2816.539,2827.847,2790.726,2823.215
6/19/13,2810.82,2810.82,2763.371,2805.031
6/20/13,2788.952,2788.952,2712.874,2713.976
6/21/13,2668.171,2720.255,2642.693,2704.654
6/24/13,2696.263,2696.263,2523.471,2537.954
6/25/13,2510.498,2537.065,2357.43,2530.912
6/26/13,2533.92,2558.421,2503.257,2558.25
6/27/13,2563.342,2597.317,2532.082,2534.052
6/28/13,2519.032,2595.433,2500.841,2557.201
7/1/13,2545.798,2591.279,2531.446,2590.968
7/2/13,2590.36,2619.083,2578.041,2617.395
7/3/13,2606.266,2613.692,2558.6,2607.739
7/4/13,2590.696,2654.39,2577.372,2626.447
7/5/13,2630.092,2656.89,2619.418,2620.474
7/8/13,2582.606,2589.284,2534.359,2535.79
7/9/13,2531.168,2549.379,2518.68,2543.034
7/10/13,2543.024,2615.197,2539.061,2615.197
7/11/13,2620.607,2734.501,2620.607,2710.371
7/12/13,2704.565,2727.224,2670.451,2671.817
7/15/13,2683.042,2734.082,2676.611,2719.189
7/16/13,2716.101,2739.98,2696.233,2739.98
7/17/13,2733.312,2750.488,2694.413,2700.007
7/18/13,2690.002,2701.703,2660.53,2675.37
7/19/13,2676.55,2693.041,2612.947,2613.576
7/22/13,2593.091,2646.522,2581.666,2645.861
7/23/13,2654.718,2720.032,2653.344,2716.077
7/24/13,2705.574,2722.863,2672.481,2715.14
7/25/13,2718.36,2729.662,2672.887,2681.397
7/26/13,2670.061,2688.305,2646.108,2672.79
7/29/13,2655.269,2655.269,2613.657,2619.838
7/30/13,2624.743,2651.754,2584.151,2623.496
7/31/13,2641.484,2664.632,2624.271,2632.492
8/1/13,2642.389,2701.693,2638.677,2701.693
8/2/13,2717.802,2734.379,2704.22,2707.501
8/5/13,2708.807,2747.292,2705.849,2747.292
8/6/13,2741.485,2777.727,2730.012,2770.214
8/7/13,2767.729,2783.034,2742.386,2747.081
8/8/13,2741.898,2768.563,2733.541,2749.009
8/9/13,2758.054,2774.681,2723.408,2757.316
8/12/13,2766.623,2815.565,2764.636,2815.565
8/13/13,2815.781,2828.399,2807.631,2828.362
8/14/13,2830.874,2847.082,2808.364,2819.042
8/15/13,2816.831,2828.97,2785.121,2786.785
8/16/13,2774.727,2858.744,2746.183,2747.392
8/19/13,2728.225,2792.732,2725.617,2789.959
8/20/13,2785.298,2813.447,2766.531,2778.129
8/21/13,2782.112,2785.712,2757.366,2784.149
8/22/13,2778.411,2802.754,2773.56,2785.147
8/23/13,2795.043,2801.343,2727.221,2773.276
8/26/13,2778.924,2831.394,2775.424,2830.995
8/27/13,2828.984,2845.871,2820.697,2845.871
8/28/13,2828.301,2849.265,2807.916,2825.69
8/29/13,2832.237,2837.693,2805.024,2819.857
8/30/13,2818.15,2836.611,2786.909,2799.244
9/2/13,2804.229,2819.625,2777.85,2812.887
9/3/13,2815.946,2855.338,2811.244,2855.009
9/4/13,2854.136,2865.523,2845.225,2855.856
9/5/13,2854.018,2863.193,2844.054,2855.097
9/6/13,2850.397,2879.845,2849.447,2876.202
9/9/13,2888.885,2943.422,2885.74,2939.44
9/10/13,2944.084,2972.017,2936.054,2971.761
9/11/13,2978.148,2989.397,2947.489,2961.37
9/12/13,2955.409,2993.052,2949.038,2979.315
9/13/13,2975.481,2985.2,2957.639,2972.439
9/16/13,2981.21,2989.846,2960.497,2972.232
9/17/13,2973.257,2973.698,2916.535,2917.217
9/18/13,2914.596,2935.361,2902.394,2933.503
9/23/13,2942.029,2987.399,2942.029,2987.094
9/24/13,2985.68,2985.68,2941.843,2972.427
9/25/13,2969.222,2984.519,2950.828,2956.957
9/26/13,2949.266,2950.013,2900.813,2902.388
9/27/13,2899.757,2922.555,2898.579,2913.179
9/30/13,2924.141,2942.895,2923.728,2942.847
10/8/13,2942.375,2990.09,2931.067,2987.541
10/9/13,2978.952,3013.745,2970.008,3013.55
10/10/13,3017.337,3017.558,2979.024,2987.007
10/11/13,2999.449,3034.03,2999.449,3033.06
10/14/13,3037.309,3057.669,3029.17,3051.612
10/15/13,3054.81,3058.697,3026.033,3048.279
10/16/13,3038.998,3038.998,2961.801,2976.25
10/17/13,2988.883,3004.808,2962.256,2969.985
10/18/13,2970.215,2994.593,2964.259,2986.386
10/21/13,2993.384,3051.976,2987.754,3051.973
10/22/13,3051.107,3056.106,3011.864,3019.576
10/23/13,3021.243,3035.637,2953.995,2965.482
10/24/13,2957.474,2970.28,2938.393,2944.277
10/25/13,2944.938,2957.872,2879.918,2897.496
10/28/13,2898.825,2904.354,2876.044,2893.297
10/29/13,2893.367,2924.168,2798.747,2860.937
10/30/13,2856.815,2905.323,2851.965,2905.017
10/31/13,2896.203,2896.203,2862.768,2865.648
11/1/13,2859.451,2878.935,2839.142,2866.136
11/4/13,2873.452,2888.308,2864.915,2871.912
11/5/13,2860.14,2894.098,2834.811,2893.989
11/6/13,2882.927,2904.211,2861.861,2862.247
11/7/13,2855.37,2862.399,2825.23,2835.46
11/8/13,2822.255,2833.36,2792.027,2795.865
11/11/13,2792.537,2819.066,2776.961,2808.512
11/12/13,2810.119,2837.562,2804.97,2836.469
11/13/13,2824.708,2824.748,2779.02,2779.225
11/14/13,2777.593,2809.813,2761.369,2809.204
11/15/13,2810.868,2891.685,2810.868,2865.325
11/18/13,2883.55,2946.847,2878.465,2946.823
11/19/13,2947.673,2953.071,2928.905,2941.947
11/20/13,2953.398,2962.571,2933.498,2962.503
11/21/13,2949.947,2954.765,2922.67,2949.041
11/22/13,2952.486,2958.185,2928.553,2935.141
11/25/13,2924.614,2959.331,2917.779,2929.886
11/26/13,2927.936,2942.745,2920.02,2933.351
11/27/13,2931.55,2972.06,2929.184,2968.902
11/28/13,2973.782,3016.51,2972.674,2995.76
11/29/13,2998.023,3010.732,2992.799,3008.753
12/2/13,2961.816,2998.76,2895.647,2918.935
12/3/13,2901.391,2965.256,2897.35,2960.485
12/4/13,2956.299,3020.094,2952.241,3000.601
12/5/13,3000.211,3007.589,2981.602,2991.008
12/6/13,2985.06,2995.356,2967.82,2977.315
12/9/13,2985.316,2997.052,2979.269,2991.352
12/10/13,2995.937,3006.98,2980.945,2993.845
12/11/13,2982.431,2982.431,2937.076,2955.243
12/12/13,2949.286,2978.411,2949.012,2962.427
12/13/13,2943.572,2973.761,2937.281,2964.938
12/16/13,2967.159,2970.486,2916.965,2920.043
12/17/13,2919.666,2925.594,2894.81,2903.89
12/18/13,2904.233,2917.352,2893.526,2902.258
12/19/13,2909.61,2919.638,2872.871,2874.123
12/20/13,2875.085,2882.968,2818.634,2823.694
12/23/13,2826.35,2835.853,2789.326,2823.994
12/24/13,2829.126,2863.138,2814.986,2838.264
12/25/13,2840.536,2868.537,2831.121,2868.537
12/26/13,2865.364,2866.513,2818.054,2819.026
12/27/13,2818.904,2876.711,2817.24,2866.675
12/30/13,2878.294,2883.694,2864.238,2871.449
12/31/13,2861.114,2894.538,2855.659,2893.208
1/2/14,2887.009,2900.908,2878.863,2900.626
1/3/14,2891.713,2895.093,2862.223,2874.322
1/6/14,2868.359,2868.359,2798.026,2803.288
1/7/14,2787.42,2818.928,2781.715,2814.103
1/8/14,2817.657,2846.582,2809.617,2825.825
1/9/14,2820.809,2845.425,2792.662,2793.496
1/10/14,2785.339,2792.837,2752.445,2758.993
1/13/14,2759.693,2779.854,2734.15,2748.419
1/14/14,2747.779,2789.057,2739.108,2788.848
1/15/14,2786.317,2797.832,2776.967,2797.388
1/16/14,2797.93,2816.674,2790.827,2798.913
1/17/14,2790.532,2792.6,2762.697,2764.64
1/20/14,2760.018,2770.571,2733.121,2746.047
1/21/14,2746.913,2782.69,2746.913,2781.523
1/22/14,2784.64,2850.178,2783.848,2849.942
1/23/14,2849.105,2866.713,2845.208,2854.229
1/24/14,2847.583,2890.31,2843.883,2882.484
1/27/14,2868.392,2882.473,2850.661,2860.212
1/28/14,2863.205,2878.572,2838.65,2859.085
1/29/14,2864.016,2882.224,2861.89,2879.786
1/30/14,2874.505,2874.505,2851.54,2856.842
2/7/14,2839.607,2890.698,2830.913,2890.698
2/10/14,2900.653,2966.327,2900.653,2965.066
2/11/14,2966.365,2988.62,2946.292,2977.536
2/12/14,2978.629,2999.398,2966.214,2999.061
2/13/14,2995.917,3008.951,2964.679,2964.697
2/14/14,2963.317,3003.123,2959.71,3002.928
2/17/14,3017.279,3044.695,3010.332,3044.691
2/18/14,3044.532,3044.532,3014.243,3024.971
2/19/14,3022.789,3054.891,3009.014,3042.601
2/20/14,3047.393,3057.476,3003.449,3005.346
2/21/14,3000.575,3007.946,2961.519,2984.666
2/24/14,2967.906,2967.906,2917.032,2955.74
2/25/14,2958.194,2975.537,2847.919,2860.967
2/26/14,2844.912,2874.029,2816.115,2873.723
2/27/14,2880.348,2909.024,2843.186,2846.489
2/28/14,2840.05,2877.699,2811.493,2877.257
3/3/14,2873.64,2915.714,2867.469,2915.714
3/4/14,2906.109,2916.35,2880.01,2912.228
3/5/14,2917.477,2919.913,2890.467,2895.412
3/6/14,2889.76,2909.182,2855.839,2901.321
3/7/14,2898.711,2918.938,2881.165,2893.162
3/10/14,2869.881,2869.881,2788.848,2792.686
3/11/14,2784.55,2813.748,2772.778,2797.95
3/12/14,2790.501,2821.662,2761.231,2799.262
3/13/14,2802.212,2837.167,2799.917,2834.672
3/14/14,2821.994,2837.631,2799.631,2819.057
3/17/14,2825.926,2863.757,2818.032,2863.736
3/18/14,2867.026,2885.711,2863.426,2869.029
3/19/14,2861.306,2861.306,2829.314,2856.785
3/20/14,2850.766,2870.686,2795.262,2795.262
3/21/14,2782.653,2869.677,2770.37,2866.001
3/24/14,2867.697,2894.889,2856.607,2884.39
3/25/14,2877.436,2899.635,2868.336,2883.674
3/26/14,2889.544,2896.921,2878.496,2887.804
3/27/14,2883.665,2891.985,2851.409,2851.409
3/28/14,2846.429,2859.434,2806.706,2815.035
3/31/14,2815.629,2824.222,2785.227,2801.243
4/1/14,2797.675,2835.214,2795.873,2834.97
4/2/14,2837.223,2849.024,2830.364,2841.915
4/3/14,2847.049,2856.013,2822.444,2831.165
4/4/14,2823.869,2861.204,2819.409,2860.838
4/8/14,2851.272,2909.313,2847.909,2906.994
4/9/14,2910.191,2925.355,2906.956,2922.666
4/10/14,2925.99,2967.526,2917.018,2951.853
4/11/14,2942.684,2953.003,2928.669,2943.269
4/14/14,2941.165,2953.537,2932.969,2952.683
4/15/14,2947.617,2947.617,2913.961,2918.775
4/16/14,2911.317,2929.563,2904.395,2921.631
4/17/14,2926.871,2931.865,2913.987,2916.663
4/18/14,2907.744,2923.014,2896.955,2922.43
4/21/14,2904.244,2929.069,2875.694,2876.058
4/22/14,2870.858,2885.195,2830.466,2871.326
4/23/14,2865.761,2881.338,2854.039,2864.562
4/24/14,2861.398,2874.133,2844.802,2848.013
4/25/14,2849.611,2854.542,2803.322,2803.587
4/28/14,2795.918,2796.009,2734.817,2737.388
