timestamp,open,high,low,close,volume
2020-05-29 13:35:00,122.9400,123.0200,122.9050,122.9050,12652
2020-05-29 13:30:00,123.0098,123.0400,122.9500,122.9700,14673
2020-05-29 13:25:00,123.0400,123.1200,122.9828,122.9828,13549
2020-05-29 13:20:00,123.0300,123.1151,122.9600,123.0100,22203
2020-05-29 13:15:00,122.9000,123.0800,122.8600,123.0200,17157
2020-05-29 13:10:00,122.8700,123.0390,122.8300,122.9200,17762
2020-05-29 13:05:00,123.1350,123.1800,122.7900,122.8600,37583
2020-05-29 13:00:00,122.4900,123.4600,122.4700,123.1600,59195
2020-05-29 12:55:00,122.6270,122.7100,122.2400,122.5487,55591
2020-05-29 12:50:00,122.6600,122.7200,122.6000,122.6000,18445
2020-05-29 12:45:00,122.9240,122.9300,122.5900,122.6750,18390
2020-05-29 12:40:00,122.6800,122.9400,122.6800,122.9400,15944
2020-05-29 12:35:00,122.7000,122.7600,122.6590,122.6700,26656
2020-05-29 12:30:00,122.7200,122.8000,122.7000,122.7750,24815
2020-05-29 12:25:00,122.6500,122.7300,122.6400,122.7299,16915
2020-05-29 12:20:00,122.8400,122.8550,122.6548,122.6790,23415
2020-05-29 12:15:00,122.9300,122.9800,122.8000,122.8400,22784
2020-05-29 12:10:00,123.0300,123.1600,122.9300,122.9300,32300
2020-05-29 12:05:00,123.0900,123.1900,123.0100,123.0200,17388
2020-05-29 12:00:00,123.2300,123.3200,123.0750,123.0750,21833
2020-05-29 11:55:00,123.3200,123.4600,123.2343,123.2400,20863
2020-05-29 11:50:00,123.0983,123.3400,123.0800,123.3200,24992
2020-05-29 11:45:00,123.1200,123.2200,123.0100,123.1100,30732
2020-05-29 11:40:00,123.0200,123.4100,123.0000,123.1000,25076
2020-05-29 11:35:00,123.3800,123.4700,123.0000,123.0350,32797
2020-05-29 11:30:00,123.3500,123.5700,123.2400,123.4050,45063
2020-05-29 11:25:00,122.9900,123.4100,122.9700,123.3300,42705
2020-05-29 11:20:00,123.0400,123.0800,122.8500,123.0100,74171
2020-05-29 11:15:00,122.5600,123.0400,122.5100,123.0400,26803
2020-05-29 11:10:00,122.5150,122.7000,122.5150,122.5700,29890
2020-05-29 11:05:00,122.4100,122.6000,122.3300,122.5021,37572
2020-05-29 11:00:00,122.3900,122.5100,122.2700,122.4200,63743
2020-05-29 10:55:00,122.4500,122.6000,122.3300,122.3900,42012
2020-05-29 10:50:00,122.7000,122.7700,122.4000,122.4200,36104
2020-05-29 10:45:00,122.5772,122.7000,122.5400,122.6900,32684
2020-05-29 10:40:00,122.8400,122.8400,122.5500,122.5900,30244
2020-05-29 10:35:00,122.6800,123.0400,122.6800,122.8700,26584
2020-05-29 10:30:00,123.0200,123.0900,122.5700,122.6700,19436
2020-05-29 10:25:00,122.7500,123.0700,122.7146,123.0200,46857
2020-05-29 10:20:00,122.7800,122.7900,122.5100,122.7842,40768
2020-05-29 10:15:00,122.5000,122.7950,122.3400,122.7600,51573
2020-05-29 10:10:00,122.5500,122.7000,122.4393,122.4950,39321
2020-05-29 10:05:00,122.7000,122.7150,122.5000,122.5500,37899
2020-05-29 10:00:00,122.8600,122.9300,122.5900,122.7300,29764
2020-05-29 09:55:00,123.0100,123.1399,122.5900,122.8300,46157
2020-05-29 09:50:00,122.6200,123.1500,122.6200,123.0100,44976
2020-05-29 09:45:00,122.8350,122.9000,122.3300,122.6313,43769
2020-05-29 09:40:00,123.0100,123.5000,122.8500,122.8500,55453
2020-05-29 09:35:00,123.6700,123.6700,122.8500,123.1200,121147
2020-05-28 16:00:00,124.4000,124.7800,124.4000,124.5500,172783
2020-05-28 15:55:00,124.5900,124.6000,124.2200,124.3900,160242
2020-05-28 15:50:00,124.7600,124.8700,124.5400,124.6050,84291
2020-05-28 15:45:00,124.8950,124.9000,124.7400,124.7800,65875
2020-05-28 15:40:00,124.9200,125.0400,124.7850,124.8900,47981
2020-05-28 15:35:00,125.1000,125.2100,124.7700,124.9000,55955
2020-05-28 15:30:00,125.4400,125.4900,125.1000,125.1100,34947
2020-05-28 15:25:00,125.5200,125.5650,125.3600,125.4600,41867
2020-05-28 15:20:00,126.1000,126.1100,125.4900,125.5079,45815
2020-05-28 15:15:00,125.9300,126.1300,125.8600,126.0984,46064
2020-05-28 15:10:00,125.9800,125.9800,125.8900,125.9300,21219
2020-05-28 15:05:00,125.7250,125.9800,125.7250,125.9550,25523
2020-05-28 15:00:00,125.6000,125.7700,125.5100,125.7500,24873
2020-05-28 14:55:00,125.6100,125.6800,125.5554,125.6000,14864
2020-05-28 14:50:00,125.5800,125.6250,125.4950,125.6000,15222
2020-05-28 14:45:00,125.6600,125.6800,125.5300,125.5700,14090
2020-05-28 14:40:00,125.6800,125.8900,125.5900,125.6300,31781
2020-05-28 14:35:00,125.6000,125.7150,125.5771,125.7000,16823
2020-05-28 14:30:00,125.7700,125.8000,125.5400,125.5850,16429
2020-05-28 14:25:00,125.8000,125.9050,125.7900,125.8000,13625
2020-05-28 14:20:00,125.6650,125.8250,125.6650,125.7900,15110
2020-05-28 14:15:00,125.5697,125.7000,125.5400,125.6400,11853
